Регио,МО,Тип н�,Насел,Адрес,Широт,Долго,Кратк,icon_url
Саратовская область,Энгельсский район,Поселок,Калинино,"Саратовская обл., Энгельсский район, п. Калинино, ул. Дорожная, 10","51.081186","46.500039",ФАП,./0.png
Саратовская область,Лысогорский район,Село,Петропавловка,"Саратовская обл., Лысогорский район, с. Петропавловка, ул. Зеленая, 8/1","50.25388","47.921877",ФАП,./0.png
Саратовская область,Лысогорский район,Поселок,Раздольное,"Саратовская обл., Лысогорский район, п. Раздольное, ул. Центральная, 10","51.241002","45.243694",ФАП,./0.png
Саратовская область,Лысогорский район,Деревня,Новые Пески,"Саратовская обл., Лысогорский район, д. Новые Пески, ул. Луговая, 23","51.410362","44.829176",ФАП,./0.png
Саратовская область,Лысогорский район,Поселок,Первомайский,"Саратовская обл., Лысогорский район, п. Первомайский, ул. Первомайская, 15","51.354965","48.906826",ФАП,./0.png
Саратовская область,Лысогорский район,Село,Шереметьевка,"Саратовская обл., Лысогорский район, с. Шереметьевка, ул. Песчаная, 99а","51.626515","44.824136",ФАП,./0.png
Саратовская область,Лысогорский район,Село,Юнгеровка,"Саратовская обл., Лысогорский район, с. Юнгеровка, ул. Центральная, 33/1","51.556639","45.111516",ФАП,./0.png
Саратовская область,Лысогорский район,Село,Урицкое,"Саратовская обл., Лысогорский район, с. Урицкое, ул. Рабочая, 15","51.430222","44.933587",ФАП,./0.png
Саратовская область,Лысогорский район,Село,Чадаевка,"Саратовская обл., Лысогорский район, с. Чадаевка, пер. Тихий 2-й, 2","51.383596","44.763608",ФАП,./0.png
Саратовская область,Марксовский район,Село,Березовка,"Саратовская обл., Марксовский район, с. Березовка, ул. К.Маркса, 15","51.6623","46.836596",ФАП,./0.png
Саратовская область,Марксовский район,Поселок,Водопьяновка,"Саратовская обл., Марксовский район, п. Водопьяновка, ул. Мелиораторов, 9","51.587438","47.103737",ФАП,./0.png
Саратовская область,Лысогорский район,Поселок,Яблочный,"Саратовская обл., Лысогорский район, п. Яблочный, ул. Садовая, 60","51.63116","44.643871",ФАП,./0.png
Саратовская область,Марксовский район,Село,Баскатовка,"Саратовская обл., Марксовский район, с. Баскатовка, ул. Чапаева, 18а","51.799517","46.982231",ФАП,./0.png
Саратовская область,Марксовский район,Село,Зоркино,"Саратовская обл., Марксовский район, с. Зоркино, ул. Первомайская, 40","51.899675","47.172799",ФАП,./0.png
Саратовская область,Марксовский район,Поселок,Имени Тельмана,"Саратовская обл., Марксовский район, п. Имени Тельмана, ул. Центральная, 18","51.52031","47.603757",ФАП,./0.png
Саратовская область,Марксовский район,Село,Вознесенка,"Саратовская обл., Марксовский район, с. Вознесенка, ул. Калинина, 1а","51.503758","47.298752",ФАП,./0.png
Саратовская область,Марксовский район,Село,Георгиевка,"Саратовская обл., Марксовский район, с. Георгиевка, ул. Советская, 16","51.933483","47.275791",ФАП,./0.png
Саратовская область,Марксовский район,Село,Кировское,"Саратовская обл., Марксовский район, с. Кировское, ул. Кировская, 7","51.55455","47.225782",ФАП,./0.png
Саратовская область,Марксовский район,Поселок,Колос,"Саратовская обл., Марксовский район, п. Колос, ул. Молодежная, 149","51.766432","47.259056",ФАП,./0.png
Саратовская область,Марксовский район,Село,Калининское,"Саратовская обл., Марксовский район, с. Калининское, ул. Молодежная, 16","51.515524","47.091403",ФАП,./0.png
Саратовская область,Марксовский район,Село,Каменка,"Саратовская обл., Марксовский район, с. Каменка, ул. Мелиораторов, 60","51.573637","46.89787",ФАП,./0.png
Саратовская область,Марксовский район,Село,Полековское,"Саратовская обл., Марксовский район, с. Полековское, ул. Мира, 138","51.674796","47.230076",ФАП,./0.png
Саратовская область,Марксовский район,Село,Приволжское,"Саратовская обл., Марксовский район, с. Приволжское, ул. Дорожная, 2А","51.68989","46.725097",ФАП,./0.png
Саратовская область,Марксовский район,Село,Орловское,"Саратовская обл., Марксовский район, с. Орловское, ул. Ленина, 57","51.761739","46.901634",ФАП,./0.png
Саратовская область,Марксовский район,Поселок,Осиновский,"Саратовская обл., Марксовский район, п. Осиновский, ул. Садовая, 2","51.576351","46.806565",ФАП,./0.png
