Кратк,Вид,Широт,Долго,Насел,МО,Регио,Округ,icon_url
"ГБУЗ НСО ""Доволенская ЦРБ""",Больница (в том числе детская),"54.49916","79.660355",Довольное,Доволенский район,Новосибирская область,Сибирский федеральный округ,./0.png
"ГБУЗ НСО ""Здвинская ЦРБ""",Больница (в том числе детская),"54.7011","78.66022",Здвинск,Здвинский район,Новосибирская область,Сибирский федеральный округ,./0.png
"ГБУЗ НСО ""ГНОКГВВ""",Больница (в том числе детская),"55.019833","82.92201",Новосибирск,городской округ Новосибирск,Новосибирская область,Сибирский федеральный округ,./0.png
"ГБУЗ НСО ""Куйбышевская ЦРБ""",Больница (в том числе детская),"55.455902","78.33044",Куйбышев,Куйбышевский район,Новосибирская область,Сибирский федеральный округ,./0.png
"ГБУЗ НСО ""БЦГБ""",Больница (в том числе детская),"54.759674","83.093506",Бердск,городской округ Бердск,Новосибирская область,Сибирский федеральный округ,./0.png
ФКУЗ МСЧ-54 ФСИН России,"Медико-санитарная часть, в том числе центральная","55.05589","82.96581",Новосибирск,городской округ Новосибирск,Новосибирская область,Сибирский федеральный округ,./0.png
филиал «МЧ-3» ФКУЗ МСЧ-54 ФСИН России,"Медико-санитарная часть, в том числе центральная","55.104034","82.99237",Новосибирск,городской округ Новосибирск,Новосибирская область,Сибирский федеральный округ,./0.png
филиал «МЧ-4» ФКУЗ МСЧ-54 ФСИН России,"Медико-санитарная часть, в том числе центральная","55.050877","83.079994",Новосибирск,городской округ Новосибирск,Новосибирская область,Сибирский федеральный округ,./0.png
филиал «МЧ-7» ФКУЗ МСЧ-54 ФСИН России,"Медико-санитарная часть, в том числе центральная","55.23318","84.36955",Тогучин,Тогучинский район,Кемеровская область,Сибирский федеральный округ,./0.png
Филиал «МЧ-1» ФКУЗ МСЧ-54 ФСИН России,"Медико-санитарная часть, в том числе центральная","54.96158","82.809616",Новосибирск,городской округ Новосибирск,Новосибирская область,Сибирский федеральный округ,./0.png
филиал «МЧ-9» ФКУЗ МСЧ-54 ФСИН России,"Медико-санитарная часть, в том числе центральная","54.983376","83.03764",Новосибирск,городской округ Новосибирск,Новосибирская область,Сибирский федеральный округ,./0.png
ООО «ЦЕНТР ЭСТЕТИЧЕСКОЙ МЕДИЦИНЫ»,"Амбулатория, в том числе врачебная","55.03379","82.91498",Новосибирск,городской округ Новосибирск,Новосибирская область,Сибирский федеральный округ,./0.png
ООО «Дентал-Косметик»,"Амбулатория, в том числе врачебная","55.04105","82.918785",Новосибирск,городской округ Новосибирск,Новосибирская область,Сибирский федеральный округ,./0.png
"ООО ""КВК""","Амбулатория, в том числе врачебная","54.86935","83.08494",Новосибирск,городской округ Новосибирск,Новосибирская область,Сибирский федеральный округ,./0.png
"ФКУЗ ""МСЧ МВД России по Новосибирской области""","Медико-санитарная часть, в том числе центральная","55.024513","82.93093",Новосибирск,городской округ Новосибирск,Новосибирская область,Сибирский федеральный округ,./0.png
