Кратк,Вид,Широт,Долго,Назва,Регио,Округ,icon_url
"ГУЗ ""СОДКБ""",Больница (в том числе детская),"51.521038","46.019936",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""ОДИКБ имени Н.Р. Иванова""",Больница (в том числе детская),"51.5162","45.962914",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГАУЗ ""ЭГКБ № 1""",Больница (в том числе детская),"51.471626","46.156662",Энгельс,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""СГКБ № 9""",Больница (в том числе детская),"51.53322","46.05766",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""СГССМП""",Медицинские организации скорой медицинской помощи и переливания крови,"51.526352","46.006714",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Хвалынская РБ им. Бржозовского""",Больница (в том числе детская),"52.496952","48.101955",Хвалынск,Саратовская область,Приволжский федеральный округ,./0.png
"ГАУЗ СО ""Энгельсская РБ""",Больница (в том числе детская),"51.447487","46.079018",Энгельс,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Балашовская РБ""",Больница (в том числе детская),"51.538185","43.16038",Балашов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Аткарская РБ""",Больница (в том числе детская),"51.873646","45.007553",Аткарск,Саратовская область,Приволжский федеральный округ,./0.png
"ГАУЗ ""ЭГБ № 2""",Больница (в том числе детская),"51.495556","46.152374",Энгельс,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""СГКБ № 2 им.В.И. Разумовского""",Больница (в том числе детская),"51.521732","46.02598",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""СГКБ № 6 имени академика В.Н. Кошелева""",Больница (в том числе детская),"51.58686","45.93235",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""СГДБ №4""",Больница (в том числе детская),"51.525955","46.005096",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""СГДП №2""","Амбулатория, в том числе врачебная","51.542862","46.014683",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""СДИБ № 6""",Больница (в том числе детская),"51.530796","46.03854",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
ГУЗ СГКБ № 5,Больница (в том числе детская),"51.54072","45.985077",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""СГКБ № 12""",Больница (в том числе детская),"51.48933","45.920044",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""ДГБ г. Балаково""",Больница (в том числе детская),"52.024055","47.79684",Балаково,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""СГКБ № 8""",Больница (в том числе детская),"51.57851","45.955536",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""МСЧ ГО ЗАТО Светлый""","Медико-санитарная часть, в том числе центральная","51.67515","45.627422",Светлый,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""СОСПК""",Медицинские организации скорой медицинской помощи и переливания крови,"51.58841","45.920444",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Вольская РБ""",Больница (в том числе детская),"52.052135","47.374966",Вольск,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Саратовская районная больница""",Больница (в том числе детская),"51.586975","45.853928",Жасминный,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Краснопартизанская РБ""",Больница (в том числе детская),"51.753838","48.542957",Горный,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Петровская РБ""",Больница (в том числе детская),"52.30653","45.392967",Петровск,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""СГКБ № 1 им. Ю.Я. Гордеева""",Больница (в том числе детская),"51.525536","46.004604",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""СГДБ №7""",Больница (в том числе детская),"51.61365","45.97872",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""БГКБ""",Больница (в том числе детская),"52.021706","47.794727",Балаково,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""СГКБ № 10""",Больница (в том числе детская),"51.47444","45.913834",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
ОГУ «Саратовский аптечный склад»,,"51.605946","45.93624",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
ФКУЗ МСЧ-64 ФСИН России,"Медико-санитарная часть, в том числе центральная","51.525227","46.023136",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
Филиал ФГБУЗ ЦМСЧ № 119 ФМБА России-МСЧ №9,"Медико-санитарная часть, в том числе центральная","51.567066","46.02532",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
ФГКУ «428 ВГ» Минобороны России,Госпиталь,"51.530285","46.01214",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТОМАТОЛОГИЯ""","Амбулатория, в том числе врачебная","51.542587","44.84088",Лысые Горы,Саратовская область,Приволжский федеральный округ,./0.png
"ЧУЗ ""РЖД-Медицина"" г.Ершов""",Больница (в том числе детская),"51.348907","48.269768",Ершов,Саратовская область,Приволжский федеральный округ,./0.png
"ЧУЗ ""КБ ""РЖД-Медицина"" г. Саратов""",Больница (в том числе детская),"51.518658","45.993294",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
ГАУ СО «Энгельсский дом-интернат для престарелых и инвалидов»,Больница (в том числе детская),"51.49215","46.153606",Энгельс,Саратовская область,Приволжский федеральный округ,./0.png
