Регио,МО,Тип н�,Насел,Адрес,Широт,Долго,Кратк,icon_url
Челябинская область,Аргаяшский район,Деревня,Старая Соболева,"Челябинская область, Аргаяшский район, д. Старая Соболева, ул. 40 лет Победы, 1","55.547311","61.050414",ФАП,./0.png
Челябинская область,Октябрьский район,Деревня,Барсучье,"Челябинская область, Октябрьский район, д. Барсучье, ул. Молодежная, 17","54.450057","62.640558",ФАП,./0.png
Челябинская область,Октябрьский район,Деревня,Теренкуль,"Челябинская область, Октябрьский район, д. Теренкуль, ул. Центральная, 57","54.290424","62.361218",ФАП,./0.png
Челябинская область,Каслинский район,Село,Огневское,"Челябинская область, Каслинский район, с. Огневское, ул. Ленина, 83","56.109004","61.519155",ФАП,./0.png
Челябинская область,Агаповский район,Поселок,Желтинский,"Челябинская область, Агаповский район, п. Желтинский, ул. Первомайская, 24","53.562455","59.223402",ФАП,./0.png
Челябинская область,Чебаркульский район,Деревня,Звягино,"Челябинская область, Чебаркульский район, д. Звягино, ул. Пионерская, 15","54.745662","60.752649",ФАП,./0.png
Челябинская область,Чебаркульский район,Поселок,Мирный,"Челябинская область, Чебаркульский район, п. Мирный, ул. Парковая, 14","55.014484","60.913071",ФАП,./0.png
Челябинская область,Октябрьский район,Поселок,Березовский,"Челябинская область, Октябрьский район, п. Березовский, ул. Степная, 27","54.117476","62.820463",ФАП,./0.png
Челябинская область,Аргаяшский район,Поселок,Худайбердинский,"Челябинская область, Аргаяшский район, п. Худайбердинский, ул. Терешковой, 5","55.608785","60.91723",ФАП,./0.png
Челябинская область,Чебаркульский район,Деревня,Попово,"Челябинская область, Чебаркульский район, д. Попово, ул. Новая, 9","54.641748","60.720301",ФАП,./0.png
Челябинская область,Саткинский район,Село,Романовка,"Челябинская область, Саткинский район, с. Романовка, ул. Советская, 2 а","55.215631","59.070186",ФАП,./0.png
Челябинская область,Саткинский район,Деревня,Верхний Айск,"Челябинская область, Саткинский район, д. Верхний Айск, ул. Центральная, 25 а","55.23269","58.915505",ФАП,./0.png
Челябинская область,Саткинский район,Поселок,Сибирка,"Челябинская область, Саткинский район, п. Сибирка, ул. Ленина, 5","54.870523","58.995949",ФАП,./0.png
Челябинская область,Чебаркульский район,Деревня,Маскайка,"Челябинская область, Чебаркульский район, д. Маскайка, ул. Механизаторов, 36","54.790132","60.536012",ФАП,./0.png
Челябинская область,Чебаркульский район,Деревня,Большаково,"Челябинская область, Чебаркульский район, д. Большаково, ул. Пугачева, 4","54.645676","60.43002",ФАП,./0.png
Челябинская область,Чебаркульский район,Город,Чебаркуль,"Челябинская область, г. Чебаркуль, ул. Мисяшская, 1","55.002568","60.457014",ФАП,./0.png
Челябинская область,Чебаркульский район,Город,Чебаркуль,"Челябинская область, г. Чебаркуль, рзд. Кисегач, 1","54.985741","60.296548",ФАП,./0.png
Челябинская область,Аргаяшский район,Поселок,Ишалино,"Челябинская область, Аргаяшский район, п. Ишалино, ул. Школьная, 9","55.417245","61.039032",ФАП,./0.png
Челябинская область,Аргаяшский район,Деревня,Давлетбаева,"Челябинская область, Аргаяшский район, д. Давлетбаева, ул. Челябинская, 6","55.205851","60.719915",ФАП,./0.png
Челябинская область,Златоустовский городской округ,Село,Куваши,"Челябинская область,Златоустовский городской округ, с. Куваши, ул. Советская, 79","55.154337","59.413944",ФАП,./0.png
