X,Y,Field1,Field2,Field3,Field4,Field5,Field6,насел,icon_url
141.843434913,46.6135650800001,"122304",село Селезнёво,Сахалинская область,Невельский городской округ,"141.843434913000010","46.613565080000058","30",./0.png
141.829756922,46.5994748420001,"122305",село Амурское,Сахалинская область,Невельский городской округ,"141.829756922000115","46.599474842000063","30",./0.png
142.425424364,46.6218148150001,"122306",село Таранай,Сахалинская область,Анивский городской округ,"142.425424364000037","46.621814815000050","870",./2.png
142.373830702,46.6515528290001,"122307",село Зеленодольск,Сахалинская область,Анивский городской округ,"142.373830702000078","46.651552829000082","40",./0.png
142.447871531,46.6481195330001,"122308",село Малиновка,Сахалинская область,Анивский городской округ,"142.447871531000033","46.648119533000056","4",./0.png
142.345941682,46.4513828,"122309",поселок Кириллово,Сахалинская область,Анивский городской округ,"142.345941682000102","46.451382800000033","4",./0.png
143.076326617,46.597558544,"122310",село Утёсное,Сахалинская область,Корсаковский городской округ,"143.076326617000063","46.597558544000037","4",./0.png
143.332170286,46.605642403,"122311",село Пихтовое,Сахалинская область,Корсаковский городской округ,"143.332170286000064","46.605642403000047","210",./2.png
143.331466498,46.569088306,"122312",поселок Береговое,Сахалинская область,Корсаковский городской округ,"143.331466498000054","46.569088306000026","30",./0.png
143.307953623,46.5083408070001,"122313",село Муравьёво,Сахалинская область,Корсаковский городской округ,"143.307953623000117","46.508340807000081","10",./0.png
143.365840292,46.3648260470001,"122314",село Новиково,Сахалинская область,Корсаковский городской округ,"143.365840292000030","46.364826047000065","790",./2.png
143.411488623,46.2491545770001,"122315",поселок Южное,Сахалинская область,Корсаковский городской округ,"143.411488623000082","46.249154577000070","0",./0.png
142.568062369,51.8041083530001,"122316",поселок Пост №19,Сахалинская область,городской округ Ногликский,"142.568062369000017","51.804108353000061","4",./0.png
143.106872453,51.944008769,"122317",село Венское,Сахалинская область,городской округ Ногликский,"143.106872453000051","51.944008769000050","20",./0.png
143.22422691,51.7156441700001,"122318",село Катангли,Сахалинская область,городской округ Ногликский,"143.224226910000084","51.715644170000076","860",./2.png
143.15306506,51.812204303,"122319",посёлок городского типа Ноглики,Сахалинская область,городской округ Ногликский,"143.153065060000017","51.812204303000044","10486",./4.png
143.300646629,51.724882333,"122320",поселок Набиль,Сахалинская область,городской округ Ногликский,"143.300646629000084","51.724882333000039","4",./0.png
143.206486763,51.918353247,"122321",поселок Ныйво,Сахалинская область,городской округ Ногликский,"143.206486763000044","51.918353247000027","4",./0.png
141.939730895,51.5770258970001,"122322",село Виахту,Сахалинская область,городской округ Александровск-Сахалинский район,"141.939730895000025","51.577025897000055","260",./2.png
142.026913544,51.5113796910001,"122323",село Трамбаус,Сахалинская область,городской округ Александровск-Сахалинский район,"142.026913544000081","51.511379691000059","90",./0.png
142.873692898,51.5969355940001,"122324",поселок Совхоз Ныш,Сахалинская область,городской округ Ногликский,"142.873692898000058","51.596935594000058","4",./0.png
142.729513082,51.347616197,"122325",село Арги-Паги,Сахалинская область,Тымовский городской округ,"142.729513082000040","51.347616197000036","1450",./1.png
142.75541384,51.535290742,"122326",село Ныш,Сахалинская область,городской округ Ногликский,"142.755413840000074","51.535290742000029","660",./2.png
142.1813302,51.3197905170001,"122327",село Хоэ,Сахалинская область,городской округ Александровск-Сахалинский район,"142.181330200000048","51.319790517000058","860",./2.png
142.189099513,51.2400195720001,"122328",село Танги,Сахалинская область,городской округ Александровск-Сахалинский район,"142.189099513000087","51.240019572000051","300",./2.png
142.261750028,51.096708908,"122329",село Мангидай,Сахалинская область,городской округ Александровск-Сахалинский район,"142.261750028000051","51.096708908000039","140",./0.png
142.26429365,51.0495374500001,"122330",село Мгачи,Сахалинская область,городской округ Александровск-Сахалинский район,"142.264293650000013","51.049537450000059","822",./2.png
142.686489239,51.2015102010001,"122331",село Чир-Унвд,Сахалинская область,Тымовский городской округ,"142.686489239000025","51.201510201000076","300",./2.png
142.661790982,51.186047826,"122332",село Горки,Сахалинская область,Тымовский городской округ,"142.661790982000070","51.186047826000049","4",./0.png
142.674141222,51.247099694,"122333",село Иркир,Сахалинская область,Тымовский городской округ,"142.674141222000117","51.247099694000042","100",./0.png
142.67969804,51.320522833,"122334",село Ульва,Сахалинская область,Тымовский городской округ,"142.679698040000062","51.320522833000041","4",./0.png
142.676860374,51.135858311,"122335",село Адо-Тымово,Сахалинская область,Тымовский городской округ,"142.676860374000057","51.135858311000050","740",./2.png
142.651893761,51.0175403580001,"122336",село Молодёжное,Сахалинская область,Тымовский городской округ,"142.651893761000110","51.017540358000076","910",./2.png
142.633270926,51.0364890880001,"122337",село Славы,Сахалинская область,Тымовский городской округ,"142.633270926000023","51.036489088000053","340",./2.png
142.640614713,51.000847983,"122338",село Берёзовая Поляна,Сахалинская область,Тымовский городской округ,"142.640614713000105","51.000847983000028","4",./0.png
142.170198079,50.8724077750001,"122339",село Корсаковка,Сахалинская область,городской округ Александровск-Сахалинский район,"142.170198079000102","50.872407775000056","90",./0.png
142.177256523,50.8313858080001,"122340",село Михайловка,Сахалинская область,городской округ Александровск-Сахалинский район,"142.177256523000096","50.831385808000050","350",./2.png
142.106183979,50.830293435,"122341",село Дуэ,Сахалинская область,городской округ Александровск-Сахалинский район,"142.106183979000093","50.830293435000044","180",./0.png
142.23318227,50.9567793100001,"122342",село Чеховское,Сахалинская область,городской округ Александровск-Сахалинский район,"142.233182270000043","50.956779310000059","90",./0.png
142.268605837,50.9436211600001,"122343",село Арково,Сахалинская область,городской округ Александровск-Сахалинский район,"142.268605837000109","50.943621160000077","280",./2.png
142.434495649,50.8380923920001,"122344",село Верхний Армудан,Сахалинская область,Тымовский городской округ,"142.434495649000041","50.838092392000078","0",./0.png
142.862676308,50.6931100140001,"122345",село Белоречье,Сахалинская область,Тымовский городской округ,"142.862676308000118","50.693110014000069","220",./2.png
142.722954129,50.7094966820001,"122346",село Кировское,Сахалинская область,Тымовский городской округ,"142.722954129000072","50.709496682000065","1670",./1.png
142.673965655,50.7873395550001,"122347",село Красная Тымь,Сахалинская область,Тымовский городской округ,"142.673965655000075","50.787339555000074","780",./2.png
142.603329594,50.8209754060001,"122348",село Подгорное,Сахалинская область,Тымовский городской округ,"142.603329594000115","50.820975406000059","230",./2.png
142.595711833,50.8374157630001,"122349",село Восход,Сахалинская область,Тымовский городской округ,"142.595711833000109","50.837415763000081","580",./2.png
142.657249929,50.847840944,"122350",посёлок городского типа Тымовское,Сахалинская область,Тымовский городской округ,"142.657249929000045","50.847840944000041","7544",./3.png
142.650639978,50.9575755800001,"122351",село Усково,Сахалинская область,Тымовский городской округ,"142.650639978000072","50.957575580000082","60",./0.png
142.674022285,50.9018717180001,"122352",село Воскресеновка,Сахалинская область,Тымовский городской округ,"142.674022285000092","50.901871718000052","820",./2.png
142.704324483,50.8977644490001,"122353",село Ключи,Сахалинская область,Тымовский городской округ,"142.704324483000050","50.897764449000078","10",./0.png
142.177527456,50.5376088250001,"122354",село Владимировка,Сахалинская область,городской округ Александровск-Сахалинский район,"142.177527456000121","50.537608825000063","4",./0.png
142.738428743,50.5296917530001,"122355",село Лонгари,Сахалинская область,Тымовский городской округ,"142.738428743000100","50.529691753000066","4",./0.png
142.726378184,50.6128070080001,"122356",село Палево,Сахалинская область,Тымовский городской округ,"142.726378184000055","50.612807008000061","90",./0.png
142.713658188,50.6403102410001,"122357",село Ясное,Сахалинская область,Тымовский городской округ,"142.713658188000068","50.640310241000066","1440",./1.png
143.755009274,50.3773013150001,"122358",поселок Пограничное,Сахалинская область,городской округ Ногликский,"143.755009274000031","50.377301315000068","4",./0.png
142.173194284,50.0427180350001,"122359",село Пильво,Сахалинская область,городской округ Смирныховский,"142.173194284000033","50.042718035000064","180",./0.png
142.728372034,50.3037608600001,"122360",поселок Северная Хандаса,Сахалинская область,городской округ Смирныховский,"142.728372034000017","50.303760860000068","4",./0.png
142.682082148,50.1914547380001,"122361",село Онор,Сахалинская область,городской округ Смирныховский,"142.682082148000063","50.191454738000061","1580",./1.png
142.885347094,50.144150779,"122362",поселок Абрамовка,Сахалинская область,городской округ Смирныховский,"142.885347094000053","50.144150779000029","4",./0.png
143.19969393,50.1055503520001,"122363",поселок Лангери,Сахалинская область,городской округ Смирныховский,"143.199693930000080","50.105550352000080","4",./0.png
142.766412966,49.957214078,"122364",село Рощино,Сахалинская область,городской округ Смирныховский,"142.766412966000075","49.957214078000050","540",./2.png
142.81391651,49.8380645710001,"122365",село Победино,Сахалинская область,городской округ Смирныховский,"142.813916510000013","49.838064571000075","1300",./1.png
142.970485716,49.7463225590001,"122366",село Орлово,Сахалинская область,городской округ Смирныховский,"142.970485716000098","49.746322559000077","50",./0.png
142.948201072,49.9358389440001,"122367",поселок Рыбоводное,Сахалинская область,городской округ Смирныховский,"142.948201072000074","49.935838944000068","30",./0.png
142.78038382,49.969633511,"122368",поселок Южная Хандаса,Сахалинская область,городской округ Смирныховский,"142.780383820000111","49.969633511000040","10",./0.png
142.831356499,49.7428660640001,"122369",посёлок городского типа Смирных,Сахалинская область,городской округ Смирныховский,"142.831356499000094","49.742866064000054","7851",./3.png
143.269628638,49.923686199,"122370",поселок Лесная,Сахалинская область,городской округ Смирныховский,"143.269628638000086","49.923686199000031","4",./0.png
143.374442692,49.9557469420001,"122371",поселок Известковый,Сахалинская область,городской округ Смирныховский,"143.374442692000116","49.955746942000076","4",./0.png
143.269936114,49.9655859480001,"122372",село Первомайск,Сахалинская область,городской округ Смирныховский,"143.269936114000075","49.965585948000069","1430",./1.png
142.175729015,49.6507392720001,"122373",село Бошняково,Сахалинская область,Углегорский городской округ,"142.175729015000115","49.650739272000067","663",./2.png
142.810864087,49.595693576,"122374",поселок Кошевой,Сахалинская область,городской округ Смирныховский,"142.810864087000027","49.595693576000031","40",./0.png
142.919727137,49.585920592,"122375",село Раздольное,Сахалинская область,городской округ Смирныховский,"142.919727137000109","49.585920592000036","30",./0.png
142.869843866,49.5444618700001,"122376",село Буюклы,Сахалинская область,городской округ Смирныховский,"142.869843866000110","49.544461870000077","1920",./1.png
142.858904379,49.462790596,"122377",село Матросово,Сахалинская область,Поронайский городской округ,"142.858904379000023","49.462790596000048","100",./0.png
142.906449169,49.4638157900001,"122378",село Малиновка,Сахалинская область,Поронайский городской округ,"142.906449169000098","49.463815790000069","370",./2.png
142.84349973,49.386155585,"122379",поселок Возвращение,Сахалинская область,Поронайский городской округ,"142.843499730000076","49.386155585000040","4",./0.png
142.865135305,49.3599298070001,"122380",село Забайкалец,Сахалинская область,Поронайский городской округ,"142.865135305000081","49.359929807000071","270",./2.png
143.692119126,49.4694318570001,"122381",село Трудовое,Сахалинская область,Поронайский городской округ,"143.692119126000080","49.469431857000075","250",./2.png
142.080816616,49.275395975,"122382",село Надеждино,Сахалинская область,Углегорский городской округ,"142.080816616000106","49.275395975000038","0",./0.png
142.300696041,49.161644203,"122383",село Приозёрное,Сахалинская область,Углегорский городской округ,"142.300696041000037","49.161644203000037","0",./0.png
142.108995048,49.062756388,"122384",село Ольховка,Сахалинская область,Углегорский городской округ,"142.108995048000111","49.062756388000025","263",./2.png
142.139810042,49.1108811140001,"122385",село Ударное,Сахалинская область,Углегорский городской округ,"142.139810042000022","49.110881114000051","6",./0.png
142.945824951,49.1022632130001,"122386",село Гастелло,Сахалинская область,Поронайский городской округ,"142.945824951000077","49.102263213000072","1130",./1.png
142.631554386,49.1338448660001,"122387",посёлок Таёжный,Сахалинская область,Поронайский городской округ,"142.631554386000062","49.133844866000061","4",./0.png
142.891923735,49.2043775970001,"122388",село Тихменево,Сахалинская область,Поронайский городской округ,"142.891923735000091","49.204377597000075","447",./2.png
142.890128608,49.2945523910001,"122389",село Майское,Сахалинская область,Поронайский городской округ,"142.890128608000055","49.294552391000082","160",./0.png
142.870562404,49.2813891800001,"122390",село Леонидово,Сахалинская область,Поронайский городской округ,"142.870562404000111","49.281389180000076","1390",./1.png
143.032853376,49.2358968780001,"122391",населённый пункт Гончарово,Сахалинская область,Поронайский городской округ,"143.032853376000048","49.235896878000062","4",./0.png
143.100850334,49.2214192120001,"122392",город Поронайск,Сахалинская область,Поронайский городской округ,"143.100850334000029","49.221419212000058","15561",./4.png
143.558517334,49.319149818,"122393",поселок Коса,Сахалинская область,Поронайский городской округ,"143.558517334000044","49.319149818000028","4",./0.png
143.97826857,49.2711966050001,"122394",поселок Владимирово,Сахалинская область,Поронайский городской округ,"143.978268570000068","49.271196605000057","4",./0.png
142.269139783,48.8960193880001,"122395",село Медвежье,Сахалинская область,Углегорский городской округ,"142.269139783000014","48.896019388000070","59",./0.png
142.135506653,48.9870021620001,"122396",село Никольское,Сахалинская область,Углегорский городской округ,"142.135506653000107","48.987002162000067","202",./2.png
142.213640972,48.9420748220001,"122397",село Краснополье,Сахалинская область,Углегорский городской округ,"142.213640972000121","48.942074822000052","554",./2.png
142.838020499,48.7249167,"122398",село Туманово,Сахалинская область,Макаровский городской округ,"142.838020499000095","48.724916700000051","30",./0.png
142.815718765,48.7505314750001,"122399",село Горное,Сахалинская область,Макаровский городской округ,"142.815718765000042","48.750531475000059","260",./2.png
142.943319015,48.885371552,"122400",село Новое,Сахалинская область,Макаровский городской округ,"142.943319015000043","48.885371552000038","718",./2.png
142.916487892,48.980673498,"122401",село Восток,Сахалинская область,Поронайский городской округ,"142.916487892000077","48.980673498000044","2214",./1.png
142.858172723,48.9943805090001,"122402",поселок городского типа Вахрушев,Сахалинская область,Поронайский городской округ,"142.858172723000052","48.994380509000052","1694",./1.png
142.640025045,48.8530078840001,"122403",поселок Еловое,Сахалинская область,Макаровский городской округ,"142.640025045000016","48.853007884000078","4",./0.png
142.135526771,48.4456830460001,"122404",поселок Северный,Сахалинская область,Томаринский городской округ,"142.135526771000059","48.445683046000056","4",./0.png
142.193199889,48.567654383,"122405",село Айнское,Сахалинская область,Томаринский городской округ,"142.193199889000084","48.567654383000047","100",./0.png
142.255708993,48.3924792830001,"122406",село Лопатино,Сахалинская область,Томаринский городской округ,"142.255708993000098","48.392479283000057","10",./0.png
142.122880663,48.3871772190001,"122407",поселок Заречный,Сахалинская область,Томаринский городской округ,"142.122880663000046","48.387177219000080","120",./0.png
142.684580979,48.3874996320001,"122408",поселок Угледарск,Сахалинская область,Макаровский городской округ,"142.684580979000089","48.387499632000072","4",./0.png
142.722455058,48.487342616,"122409",поселок Гребенская,Сахалинская область,Макаровский городской округ,"142.722455058000037","48.487342616000035","10",./0.png
142.750815803,48.570509917,"122410",село Поречье,Сахалинская область,Макаровский городской округ,"142.750815803000023","48.570509917000038","430",./2.png
142.781810749,48.6226959350001,"122411",город Макаров,Сахалинская область,Макаровский городской округ,"142.781810749000101","48.622695935000081","6324",./3.png
142.497771692,48.0245204730001,"122412",село Тихое,Сахалинская область,Макаровский городской округ,"142.497771692000015","48.024520473000052","60",./0.png
142.15544887,48.254662399,"122413",село Белинское,Сахалинская область,Томаринский городской округ,"142.155448870000100","48.254662399000040","80",./0.png
142.158862024,48.324165651,"122414",село Парусное,Сахалинская область,Томаринский городской округ,"142.158862024000086","48.324165651000044","230",./2.png
142.538902915,48.201992826,"122415",село Пугачёво,Сахалинская область,Макаровский городской округ,"142.538902915000108","48.201992826000037","110",./0.png
142.509483295,48.0996603730001,"122416",село Цапко,Сахалинская область,Макаровский городской округ,"142.509483295000109","48.099660373000063","10",./0.png
144.006964751,49.3820884940001,"122417",село Соболиное,Сахалинская область,Поронайский городской округ,"144.006964751000055","49.382088494000072","70",./0.png
142.627766465,53.683458999,"122418",село Некрасовка,Сахалинская область,городской округ Охинский,"142.627766465000036","53.683458999000038","1070",./1.png
142.677385132,53.82966086,"122419",населенный пункт Рыбалка Кеми,Сахалинская область,городской округ Охинский,"142.677385132000040","53.829660860000047","4",./0.png
142.693113784,53.866112554,"122420",населенный пункт Музьма,Сахалинская область,городской округ Охинский,"142.693113784000047","53.866112554000040","4",./0.png
142.787573639,53.7781987770001,"122421",село Колендо,Сахалинская область,городской округ Охинский,"142.787573639000016","53.778198777000057","0",./0.png
141.845299582,53.4112367060001,"122422",село Рыбное,Сахалинская область,городской округ Охинский,"141.845299582000052","53.411236706000068","60",./0.png
141.975750256,53.455414347,"122423",поселок Люги,Сахалинская область,городской округ Охинский,"141.975750256000083","53.455414347000044","4",./0.png
142.509670738,53.5801358670001,"122424",село Москальво,Сахалинская область,городской округ Охинский,"142.509670738000068","53.580135867000081","293",./2.png
142.891420947,53.4605063720001,"122425",село Озёрный,Сахалинская область,городской округ Охинский,"142.891420947000029","53.460506372000054","4",./0.png
142.968619855,53.511066801,"122426",село Эхаби,Сахалинская область,городской округ Охинский,"142.968619855000043","53.511066801000027","490",./2.png
142.949162999,53.5889736400001,"122427",город Оха,Сахалинская область,городской округ Охинский,"142.949162999000009","53.588973640000063","20016",./4.png
143.067974939,53.491480139,"122428",поселок Восточный,Сахалинская область,городской округ Охинский,"143.067974939000010","53.491480139000032","890",./2.png
141.929096105,53.049124384,"122429",поселок Береговые Лангры,Сахалинская область,городской округ Охинский,"141.929096105000099","53.049124384000038","4",./0.png
141.835573611,53.1652101870001,"122430",поселок Луполово,Сахалинская область,городской округ Охинский,"141.835573611000086","53.165210187000071","4",./0.png
141.791936907,53.2749425370001,"122431",село Рыбновск,Сахалинская область,городской округ Охинский,"141.791936907000036","53.274942537000072","70",./0.png
142.095934504,53.1215706040001,"122432",поселок Новые Лангры,Сахалинская область,городской округ Охинский,"142.095934504000070","53.121570604000055","4",./0.png
142.477123242,53.061712158,"122433",поселок Большереченск,Сахалинская область,городской округ Охинский,"142.477123242000062","53.061712158000034","4",./0.png
142.944515339,53.1510622710001,"122434",село Сабо,Сахалинская область,городской округ Охинский,"142.944515339000077","53.151062271000058","150",./0.png
143.055607184,53.156351767,"122435",село Сабо,Сахалинская область,городской округ Охинский,"143.055607184000110","53.156351767000046","150",./0.png
143.085322646,52.739096182,"122436",поселок Пильтун,Сахалинская область,городской округ Охинский,"143.085322646000009","52.739096182000026","4",./0.png
143.106126765,52.704903094,"122437",поселок Пильтун,Сахалинская область,городской округ Охинский,"143.106126765000113","52.704903094000031","150",./0.png
