Кратк,Субъе,Вид д�,Широт,Долго,Насел,Регио,Округ,icon_url
ГБУЗ КО Л-К КВД,Кемеровская область,Больница (в том числе детская),"54.666534","86.14553",Ленинск-Кузнецкий,Кемеровская область,Сибирский федеральный округ,./0.png
ГАУЗ ККЦОЗШ,Кемеровская область,Больница (в том числе детская),"54.66361","86.16225",Ленинск-Кузнецкий,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ КО Ленинск-Кузнецкий Центр СПИД,Кемеровская область,Больница (в том числе детская),"54.664608","86.15927",Ленинск-Кузнецкий,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ ЛК ССМП,Кемеровская область,Медицинские организации скорой медицинской помощи и переливания крови,"54.66918","86.15226",Ленинск-Кузнецкий,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ КО ""НГКБ № 29""",Кемеровская область,Больница (в том числе детская),"53.83551","87.168724",Новокузнецк,Кемеровская область,Сибирский федеральный округ,./0.png
ГАУЗ ЛКГБ №1,Кемеровская область,Больница (в том числе детская),"54.666943","86.15278",Ленинск-Кузнецкий,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ КО Мариинская ГБ,Кемеровская область,Больница (в том числе детская),"56.20695","87.74226",Мариинск,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ ""Междуреченская городская больница""",Кемеровская область,Больница (в том числе детская),"53.684097","88.08904",Междуреченск,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ ""Мысковская городская больница""",Кемеровская область,Больница (в том числе детская),"53.71254","87.796486",Мыски,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ КО ОТ НКПАБ,Кемеровская область,Бюро,"53.75473","87.13317",Новокузнецк,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ КО ""НССМП""",Кемеровская область,Медицинские организации скорой медицинской помощи и переливания крови,"53.75273","87.129906",Новокузнецк,Кемеровская область,Сибирский федеральный округ,./0.png
"ГАУЗ ""НГКБ №1""",Кемеровская область,Больница (в том числе детская),"53.75273","87.129906",Новокузнецк,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ КО ""Новокузнецкая городская больница № 16""",Кемеровская область,Больница (в том числе детская),"53.730064","87.236755",Абагур (Центральный р-н),Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ КО НГКБ № 11,Кемеровская область,Больница (в том числе детская),"53.796204","87.34394",Новокузнецк,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ ОТ НКБСМЭ,Кемеровская область,Бюро,"53.784832","87.21449",Новокузнецк,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ КО НГКБ № 22,Кемеровская область,Больница (в том числе детская),"53.783527","87.21308",Новокузнецк,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ КО ""НГКБ №2"" НОВОКУЗНЕЦК",Кемеровская область,Больница (в том числе детская),"53.744152","87.14349",Новокузнецк,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ КО ""НГДКБ №3""",Кемеровская область,Больница (в том числе детская),"53.844322","87.16757",Новокузнецк,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ КО НГКБ № 5,Кемеровская область,Больница (в том числе детская),"53.749657","87.05322",Новокузнецк,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ ""КДКБ""",Кемеровская область,Больница (в том числе детская),"53.749645","87.04929",Новокузнецк,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ ""ОГБ""",Кемеровская область,Больница (в том числе детская),"53.638218","87.362335",Осинники,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ КО ""Осинниковская городская детская больница""",Кемеровская область,Больница (в том числе детская),"53.638218","87.362335",Осинники,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ КО ""Осинниковская ССМП""",Кемеровская область,Медицинские организации скорой медицинской помощи и переливания крови,"53.61576","87.32729",Осинники,Кемеровская область,Сибирский федеральный округ,./0.png
"ГАУЗ КО ""Полысаевская ГБ""",Кемеровская область,Больница (в том числе детская),"54.606606","86.28043",Полысаево,Кемеровская область,Сибирский федеральный округ,./0.png
