Регио,МО,Тип н�,Насел,Адрес,Широт,Долго,Кратк,icon_url
Новосибирская область,Татарский район,Деревня,Евгеньевка,"Новосибирская область, Татарский район, д. Евгеньевка, ул. Школьная, 6","55.08416666666667","75.69055555555556",ФАП,./0.png
Новосибирская область,Татарский район,Деревня,Безбожник,"Новосибирская область, Татарский район, д. Безбожник, ул. Центральная, 20","55.17944444444444","75.52472222222222",ФАП,./0.png
Новосибирская область,Татарский район,Деревня,Чаны-Сакан,"Новосибирская область, Татарский район, д. Чаны-Сакан, ул. Центральная, 27 а","55.35055555555556","76.155",ФАП,./0.png
Новосибирская область,Татарский район,Деревня,Лебяжье,"Новосибирская область, Татарский район, д. Лебяжье, ул. Зеленая, 6","54.91444444444444","76.07138888888889",ФАП,./0.png
Новосибирская область,Татарский район,Деревня,Рождественка,"Новосибирская область, Татарский район, д. Рождественка, ул. Кооперативная, 24","55.13722222222222","75.76944444444445",ФАП,./0.png
Новосибирская область,Татарский район,Село,Казаткуль,"Новосибирская область, Татарский район, с. Казаткуль, ул. Мира, 3","55.028888888888886","76.04638888888888",ФАП,./0.png
Новосибирская область,Татарский район,Деревня,Городенка,"Новосибирская область, Татарский район, д. Городенка, ул. Рыбака, 11а","54.95277777777778","75.81055555555555",ФАП,./0.png
Новосибирская область,Татарский район,Деревня,Камбар,"Новосибирская область, Татарский район, д. Камбар, ул. Центральная, 18 а","55.17333333333333","75.80666666666666",ФАП,./0.png
Новосибирская область,Татарский район,Деревня,Зеленая Грива,"Новосибирская область, Татарский район, д. Зеленая Грива, ул. Центральная, 5 б","55.437777777777775","75.44555555555556",ФАП,./0.png
Новосибирская область,Ордынский район,Село,Усть-Луковка,"Новосибирская область, Ордынский район, с. Усть-Луковка, ул. П. Савостиной, 4","54.38305555555556","81.72500000000001",ФАП,./0.png
Новосибирская область,Ордынский район,Поселок,Шайдуровский,"Новосибирская область, Ордынский район, п. Шайдуровский, ул. Центральная, 4/1","54.41138888888889","81.31972222222223",ФАП,./0.png
Новосибирская область,Ордынский район,Село,Малый Чик,"Новосибирская область, Ордынский район, с. Малый Чик, ул. Школьная, 1","54.690555555555555","81.96583333333334",ФАП,./0.png
Новосибирская область,Ордынский район,Село,Усть-Алеус,"Новосибирская область, Ордынский район, с. Усть-Алеус, ул. Кириллова, 62","54.09916666666667","81.44777777777779",ФАП,./0.png
Новосибирская область,Ордынский район,Деревня,Новый Шарап,"Новосибирская область, Ордынский район, д. Новый Шарап, ул. Мира, 85","54.41","82.03222222222222",ФАП,./0.png
Новосибирская область,Ордынский район,Село,Новокузьминка,"Новосибирская область, Ордынский район, с. Новокузьминка, пер. 1-й, 6","54.13111111111111","81.16972222222223",ФАП,./0.png
