Кратк,Регио,МО,Тип н�,Насел,Адрес,Широт,Долго,icon_url
"0",Кемеровская область,Яйский район,Деревня,Марьевка,"Россия, Кемеровская область, Яйский район, Деревня Марьевка, ул. Школьная, д. 13-15","56.2971","86.389432",./0.png
"0",Кемеровская область,Яйский район,Село,Яя-Борик,"Россия, Кемеровская область, Яйский район, Село Яя-Борик, ул. Центральная, д. 85-1","56.274465","86.454317",./0.png
"0",Кемеровская область,Яйский район,Село,Верх-Великосельское,"Россия, Кемеровская область, Яйский район, Село Верх-Великосельское, ул. Советская, д. 60-1","56.423764","86.36493",./0.png
"0",Кемеровская область,Яйский район,Поселок,Турат,"Россия, Кемеровская область, Яйский район, Поселок Турат, ул. Майская, д. 1","56.082677","86.178332",./0.png
"0",Кемеровская область,Яйский район,Поселок,Новостройка,"Россия, Кемеровская область, Яйский район, Поселок Новостройка, ул. Гагарина, д. 2-1","56.178198","86.106817",./0.png
"0",Кемеровская область,Яйский район,Село,Ишим,"Россия, Кемеровская область, Яйский район, Село Ишим, пер. Садовый, д. 3","56.515181","86.222439",./0.png
"0",Кемеровская область,Яйский район,Село,Вознесенка,"Россия, Кемеровская область, Яйский район, Село Вознесенка, ул. 10-й пятилетки, д. 1","56.320328","85.954121",./0.png
"0",Кемеровская область,Гурьевский район,Поселок,Тайгинский леспромхоз,"Россия, Кемеровская область, Гурьевский район, Поселок Тайгинский леспромхоз, пер. Школьный, д. 7","54.507991","85.124626",./0.png
"0",Кемеровская область,Гурьевский район,Село,Кочкуровка,"Россия, Кемеровская область, Гурьевский район, Село Кочкуровка, ул. К.Маркса, д. 56","54.391197","85.565867",./0.png
"0",Кемеровская область,Гурьевский район,Деревня,Шанда,"Россия, Кемеровская область, Гурьевский район, Деревня Шанда, ул. Шоссейная, д. 2","54.312095","86.067603",./0.png
"0",Кемеровская область,Гурьевский район,Село,Кулебакино,"Россия, Кемеровская область, Гурьевский район, Село Кулебакино, ул. Молодежная, д. 8","54.412456","85.840454",./0.png
"0",Кемеровская область,Тяжинский район,Село,Преображенка,"Россия, Кемеровская область, Тяжинский район, Село Преображенка, ул. Советская, д. 30 Б","56.039252","88.569299",./0.png
"0",Кемеровская область,Тяжинский район,Деревня,Изындаево,"Россия, Кемеровская область, Тяжинский район, Деревня Изындаево, ул. Школьная, д. 4","55.748053","89.186968",./0.png
"0",Кемеровская область,Тяжинский район,Село,Старый Тяжин,"Россия, Кемеровская область, Тяжинский район, Село Старый Тяжин, ул. Московская, д. 60Б","56.137478","88.57314",./0.png
"0",Кемеровская область,Тяжинский район,Деревня,Чернышово,"Россия, Кемеровская область, Тяжинский район, Деревня Чернышово, ул. Чулымская, д. 4","55.952475","89.259715",./0.png
"0",Кемеровская область,Тяжинский район,Село,Чулым,"Россия, Кемеровская область, Тяжинский район, Село Чулым, ул. Центральная, д. 3","56.043404","89.205452",./0.png
"0",Кемеровская область,Тяжинский район,Поселок,Октябрьский,"Россия, Кемеровская область, Тяжинский район, Поселок Октябрьский, ул. Школьная, д. 2 А","56.167281","88.406108",./0.png
"0",Кемеровская область,Тяжинский район,Поселок,Листвянка,"Россия, Кемеровская область, Тяжинский район, Поселок Листвянка, ул. Стройгородок, д. 10","56.068605","88.394055",./0.png
"0",Кемеровская область,Тяжинский район,Деревня,Тяжино-Вершинка,"Россия, Кемеровская область, Тяжинский район, Деревня Тяжино-Вершинка, ул. Ленина, д. 1 А","55.919468","88.593093",./0.png
"0",Кемеровская область,Тяжинский район,Село,Малопичугино,"Россия, Кемеровская область, Тяжинский район, Село Малопичугино, ул. Советская, д. 29-1","55.852475","88.876952",./0.png
"0",Кемеровская область,Тяжинский район,Село,Ступишино,"Россия, Кемеровская область, Тяжинский район, Село Ступишино, ул. Красноармейская, д. 17","56.211944","88.550998",./0.png
"0",Кемеровская область,Тяжинский район,Деревня,Георгиевка,"Россия, Кемеровская область, Тяжинский район, Деревня Георгиевка, ул. Центральная, д. 32","56.274872","88.621431",./0.png
"0",Кемеровская область,Тяжинский район,Село,Бороковка,"Россия, Кемеровская область, Тяжинский район, Село Бороковка, ул. Верхняя, д. 43","56.12975","88.768759",./0.png
